R_in,G_in,B_in,R_out,G_out,B_out
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
445,445,445,0.18,0.18,0.18
95,95,95,0,0,0
95,95,95,0,0,0
95,95,95,0,0,0
95,95,95,0,0,0
95,95,95,0,0,0
